Americamysis bahia_acute,Americamysis bahia_chronic,Artemia salina_acute,Brachionus plicatilis_acute,Chaetogammarus marinus_acute,Crangon septemspinosa_acute,Crassostrea virginica_acute,Cyprinodon variegatus_acute,Cyprinodon variegatus_chronic,Danio rerio_chronic,Farfantepenaeus duorarum_acute,Fundulus heteroclitus_acute,Fundulus heteroclitus_chronic,Gadus morhua_chronic,Gasterosteus aculeatus_acute,Lepeophtheirus salmonis_acute,Lepomis macrochirus_acute,Litopenaeus vannamei_acute,Menidia beryllina_acute,Menidia menidia_acute,Mytilus galloprovincialis_chronic,Nitocra spinipes_acute,Oncorhynchus mykiss_chronic,Oncorhynchus mykiss_acute,Oryzias melastigma_chronic,Palaemonetes pugio_acute,Palaemonetes pugio_chronic,Palaemonetes sp._acute,Pimephales promelas_acute,Pimephales promelas_chronic,Raphidocelis subcapitata_acute,Rivulus marmoratus_chronic,Scolelepis fulginosa_acute,Skeletonema costatum_acute,Skeletonema costatum_chronic,Dunaliella tertiolecta_acute,Isochrysis galbana_acute,Phaeodactylum tricornutum_acute,smiles,duration,group
1.926290987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC1(C)C2CCC1(C)C(O)C2,3,training
-1.596879479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,4,training
-2.522878745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,4,training
-1.886056648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,4,training
0.799340549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C(#N)N,4,training
0.69019608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CSSC,4,training
1.942504106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCc1ccccc1,4,training
-2.274088368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,2,training
-1.366531544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,4,training
-1.060480747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,4,training
-0.119186408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCSC(=O)N1CCCCCC1,4,training
0.633468456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCCCCC=O,3,training
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCCCCC=O,1,training
-2.431798276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O[Sn](c1ccccc1)(c2ccccc2)c3ccccc3,4,training
-2.366531544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O[Sn](c1ccccc1)(c2ccccc2)c3ccccc3,4,training
1.750508395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cc1ccccc1,2,training
1.811575006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cc1ccccc1,1,training
0.176091259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C,4,training
-1.886056648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1,4,training
-0.494850022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,4,training
-1.124938736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC(=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC)SC,4,training
-2.30980392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2,3,training
-2.200659451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2,2,training
